,Sentence,Technique
882,protect the nation,Jingoism
883,protect the integrity of our immigration laws,Jingoism
885,"sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country",Loaded_Language
886,Thank you Prime Minister Orban for saying what needed to be said!,Loaded_Language
897,"the best example of discipline and the rule of law,”",Hyperbole
899,They have absolutely nothing in common,Hyperbole
900,"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia.""",Loaded_Language
901,an Islamic dominionist attitude,Loaded_Language
902,"He has genuinely reached out his hand to help Christian migrants instead of Muslim migrants and he seems to be one that holds to the Christian faith, as emulated by the Protestant Reformers, saying, ""That which serves the glory of God is the best for the people.""",Jingoism
903,Hits Nail On The Head,Loaded_Language
904,putting their noses,Loaded_Language
905,untold numbers,Loaded_Language
906,"chaos, anarchy and illegal border crossings",Loaded_Language
907,including the united States,Jingoism
910,leave Hungary and never come back,Jingoism
911,"Hungary would defend its borders, and it has",Jingoism
914,corrupt,Loaded_Language
915,fraudulent,Loaded_Language
916,national security,Jingoism
917,"If Islam is a good religion in itself, as you seem to teach, why did we become Catholic",Doubt
919,"disgusted by her cowardice, wounded by equivocal gestures, confused by the lack of evangelization, scandalized by the praise given to Islam.”",Loaded_Language
920,"The bishops of the Catholic Church are much more concerned that you believe that Islam is a religion of peace than that you believe in, say, the Nicene Creed",Hyperbole
921,the worst of Creation”,Loaded_Language
922,all condemned to Hell,Loaded_Language
923,so Allah must exterminate them,Loaded_Language
924,the utter scandal of the pope’s failure,Loaded_Language
925,"disgusted by her cowardice, wounded by equivocal gestures, confused by the lack of evangelization, scandalized by the praise given to Islam … Thus ignorant souls are misled…",Loaded_Language
926,This is a matter of life and death,Loaded_Language
927,a hopeless hellhole,Loaded_Language
928,Demolition Man,Loaded_Language
929,a hopeless hellhole where the native population is overtaxed and terrorized by warring foreign gangs,Hyperbole
930,Of course they can't cope,Doubt
931,stamped out,Loaded_Language
932,Mass repression and police powers that don't actually address the cause of the problem,Doubt
933,"Are the 2,000 U.S. troops in Syria really up to that task",Doubt
934,ruthless,Loaded_Language
935,"Have the generals taking us into Syria told the president how and when, if ever, they plan to get us out?",Doubt
939,blatant attack on the sovereignty and territorial integrity,Loaded_Language
940,"flagrant violation of international law.""",Loaded_Language
941,by what authority do U.S. forces remain to arm troops to keep the Damascus government from reimposing its authority on its own territory?,Doubt
943,Have the American people been had again?,Doubt
944,Does not the Syrian government have a point?,Doubt
945,But who authorized this strategic commitment,Doubt
947,"This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly … have fought to create for so many years",Hyperbole
948,Why would the autopsy report be something that needs to be withheld from the public or his family?,Doubt
949,What is surprising is the level of secrecy surrounding the Las Vegas shooting and the containment of information more than three months after it occurred,Doubt
952,"Something’s not adding up.""",Doubt
953,shocking claim,Loaded_Language
954,government is covering up a big story about terrorism,Doubt
955,"something is not adding up,”",Doubt
958,all Americans,Jingoism
959,shocking comments,Loaded_Language
961,all calumny,Loaded_Language
962,kiss and fondle them in the swank,Loaded_Language
963,These people are truly crazy,Loaded_Language
964,Shock,Loaded_Language
965,shocking move,Loaded_Language
967,gross negligence,Loaded_Language
968,How was this victim overlooked by investigators but known by Intellihub? Who was this victim?,Doubt
969,"a massive cover-up of the truth, the F.B.I. and LVMPD",Doubt
970,law enforcement investigators have never asked to see the footage,Doubt
971,placed”,Hyperbole
972,Will the F.B.I. and LVMPD please explain what in the Hell is going on here?,Doubt
973,How many more victims went ignored by investigators?,Doubt
974,a massive cover-up of the truth,Loaded_Language
975,botched investigation,Loaded_Language
976,please explain what in the Hell,Loaded_Language
977,were people getting haircuts at the crime scene?,Doubt
979,horrific,Loaded_Language
980,One can imagine that,Doubt
981,Interestingly,Doubt
983,deeply disappointed,Hyperbole
984,ridiculous exercise in virtue-signaling,Loaded_Language
985,for the crime of telling the truth about Islam and jihad,Hyperbole
987,“doesn’t applaud diversity,Loaded_Language
988,Hitler the Great.’,Hyperbole
989,corruptly elected,Loaded_Language
990,Islamophobic propaganda,Loaded_Language
991,"he has allegedly “bigoted attitude towards women, ethnic minorities and Muslims",Loaded_Language
992,hypocrisy and double standards,Loaded_Language
993,relentlessly appeasement-minded,Loaded_Language
995,shock and alarm,Loaded_Language
998,her little amnesty,Loaded_Language
999,some minor kritarch,Loaded_Language
1000,illegal aliens,Loaded_Language
1006,another bite at the apple,Loaded_Language
1008,the charismatic homosexual/pederast predator Fernando Karadima,Loaded_Language
1009,It’s all in the air,Hyperbole
1010,to blaze down,Loaded_Language
1013,her voice cracked with nervousness,Loaded_Language
1015,you are foolish,Loaded_Language
1016,the egregious failures,Loaded_Language
1017,this horrified me a lot,Loaded_Language
1021,the sinister appearance,Loaded_Language
1023,the abuse was approved by God,Loaded_Language
1024,a loudly trumpeted part,Loaded_Language
1025,tossed out,Loaded_Language
1026,snippy tone,Loaded_Language
1027,unending stream of outrages and embarrassments,Loaded_Language
1028,gobsmacked,Loaded_Language
1029,serious and painful evil,Loaded_Language
1031,calumny” comment,Loaded_Language
1032,devastating impact,Loaded_Language
1035,plagued,Loaded_Language
1036,ignored to death,Loaded_Language
1037,under his thumb,Loaded_Language
1039,"given Francis’s usual methods, it’s anyone’s guess who in reality is actually dealing with these cases, if anyone",Doubt
1040,harsh criticism,Loaded_Language
1041,wicked deceivers,Loaded_Language
1042,sucked their blood,Loaded_Language
1044,worked as furiously,Loaded_Language
1045,nefarious connections,Loaded_Language
1046,"The Muslim photographer Askia Muhammad, who took this photo of candidate Barack Obama and vicious jihad-supporting racist Louis Farrakhan, knew this would impact the election: he said so. And so he conspired with the terror group, the Nation of Islam, to keep it hidden for 10 years",Doubt
1047,that’s a good name. Hitler was a very great man,Hyperbole
1048,that’s a good name. Hitler was a very great man,Hyperbole
1049,how long do you think a nation can do evil and not face the wrath of god,Loaded_Language
1050,will rain destruction upon white America,Loaded_Language
1051,sort of in a panic,Loaded_Language
1052,shines forth,Loaded_Language
1053,destroy,Hyperbole
1054,You are wicked deceivers of the American people. You have sucked their blood,Jingoism
1056,sort of in a panic,Loaded_Language
1058,shaking down white institutions,Loaded_Language
1059,black rage,Loaded_Language
1060,"Reading Obama’s 1995 memoir, you might almost get the impression that after a prudent first term, during his second he might side with, I dunno, Black Lives Matter and encourage a wave of black rage and police retreat that drove up the death toll from murder by 20% in his last two years in office, an incremental death toll a little bigger than the U.S. combat death toll from the equally stupid Iraq War",Doubt
1061,crap,Loaded_Language
1062,racking my brain,Loaded_Language
1063,the deadliest mass shooting in modern U.S. history,Hyperbole
1064,the guy who sold him a hamburger for lunch,Hyperbole
1065,in one fell swoop,Loaded_Language
1066,"The family finally got the remains in a box marked ""evidence"" over three months after the shooting and the autopsy report hasn't been finalized? Wait, were the same guys in the autopsy room that were there when the doctors and coroners examined John F Kennedy",Doubt
1067,Seriously,Loaded_Language
